CategoryDelivery,BrandID,Brand,total_observations,anomalies_count,median_ots,mad_ots,max_ots,max_z_score
Уход за полостью рта,200242,biorepair,167,6,3980.554,1817.7079999999996,41563.422,20.67596555662406
Уход за полостью рта,230938,лесной бальзам,127,6,3500.267,1469.2170000000006,41902.626,26.137976214541474
Смарт-часы и браслеты,217082,samsung,128,5,3538.767,1364.5810000000001,32998.038,21.58851031928482
Универсальные чистящие средства,228029,елизар,283,5,3435.87,1615.6149999999998,24688.152,13.154298517901854
Уход за полостью рта,210535,listerine,27,5,2953.196,339.9920000000002,25910.076,67.52182404291862
Аудиотехника,217082,samsung,155,5,4247.069,2148.2520000000004,52157.866,22.302223854557095
Одежда,212210,minimi,89,5,4354.839,1970.1140000000005,52481.502,24.428364551492955
Дезодоранты,202979,deonica,131,5,3428.951,1781.437,26799.054,13.118680593251403
Смартфоны,216180,redmagic,150,5,5028.7765,2915.9139999999998,164579.487,54.71722091255092
Аудиотехника,217727,shure,88,5,5995.1555,3798.7919999999995,102444.652,25.389517641397585
Аудиотехника,214142,oneplus,90,5,6545.919,4422.561000000001,168538.527,36.628688219337164
Смартфоны,210219,lenovo,36,5,3227.2945,1679.8115000000003,91766.788,52.7079934266434
Одежда,220311,turkan,30,5,4330.412,1187.9820000000002,25483.431,17.805841334296307
Обувь,209477,kraus,74,5,3614.031,1494.6829999999998,25076.612999999998,14.359286885580422
Средства для волос,205624,fructis,108,5,3606.464,2062.7355,61461.088,28.047524270562082
Крупная техника,204049,electrolux,222,5,3712.4265,2082.356,55528.04699999999,24.883171033195087
Обувь,215020,pierre cardin,143,5,3528.711,1637.2819999999997,107986.488,63.79950246811485
Средства для волос,206222,глисс кур,75,5,3631.173,1264.7129999999997,28529.865,19.687227062582583
Средства для унитаза,203364,domestos,116,5,3578.3940000000002,1686.5805,21298.914,10.506773913252287
Детские одежда и обувь,221367,vulpes,36,5,3606.1055,1261.6190000000001,34869.07,24.780036207444557
Детское питание,213336,nestle,65,5,3285.961,1261.3869999999997,36630.168000000005,26.434557356306993
Дезодоранты,203471,дав,69,5,3714.613,1517.828,27396.664,15.602591993295682
Смартфоны,220512,unihertz,96,5,3693.4035000000003,2109.0865000000003,72430.005,32.590698152968116
Одежда,207563,hugo boss,54,5,3326.603,1832.959,53836.496,27.556477258902135
Одежда,211283,manto,30,5,4585.8195,1481.2249999999997,26670.149,14.90950362031427
Одежда,211249,mango,133,5,3672.987,1406.897,43297.768,28.164663795572807
Одежда,210747,love republic,154,5,4139.308,2208.105,57593.706,24.20826817565288
Аудиотехника,219341,technics,57,5,2385.979,758.7149999999999,36402.818,44.8348049003908
Аудиотехника,219016,sven,155,5,4187.144,2439.668,60476.34,23.072481993451564
Смартфоны,316850,philips xenium,68,5,3099.2529999999997,1921.7115,30650.305,14.33672640248029
Краски для волос,214036,ollin,67,5,4163.986,1985.9760000000006,54271.056,25.230450921864104
Одежда,204107,elis,56,5,3376.2985,1454.9305,23071.606,13.536940424302054
Одежда,202932,demix,92,5,3532.2365,1224.8935000000001,31083.124,22.492475876474156
Одежда,203189,dior,47,5,2371.717,525.7149999999997,13178.688,20.55671038490438
Корм для собак,215539,pro plan,66,5,2983.1975,1206.5935,52463.904,41.008596930117726
Обувь,213377,new rock,82,5,4251.6505,2237.1175000000003,41885.842,16.82262621431373
Обувь,219744,timberland,107,5,5045.236,3319.246,127874.43599999999,37.00515116987412
Обувь,219211,tamaris,158,5,2697.646,1408.3790000000004,26361.561,16.802235051786482
Товары для стирки,198674,ariel,261,5,3453.716,1630.8089999999997,28398.292,15.295829247937682
Товары для стирки,197470,abc (бытовая химия),103,5,3871.62,1867.829,26433.856,12.07939056519628
Обувь,220740,vans,149,5,5173.262,2963.8669999999997,83783.17499999999,26.52275321396
Средства для волос,197910,alerana,94,5,3985.5385,2374.1145,35340.786,13.20713364919847
